ClusterNo.1, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.2, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.3, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.4, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.5, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.6, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.7, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.8, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.9, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.10, ParameterNo.1,2,3,4,5,6,7,8,9,10,Loop Count:1, Cluster No:1,Values0,0,0,0,0,0,0,0,0,0
 Cluster No:2,12,25,18,20,21,28,17,0,30,22,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:3,38,33,19,29,27,23,2,14,16,10,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:4,12,7,23,20,20,23,18,20,22,23,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:5,0,35,0,0,0,0,0,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:6,31,37,39,17,39,39,33,30,37,34,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:7,23,23,23,23,15,14,20,22,20,17,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:8,20,26,20,21,20,20,27,29,26,21,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:9,35,26,9,0,1,0,-1,1,0,0,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:10,11,20,20,20,10,18,14,23,12,7,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loop Count:2, Cluster No:1,Values0,0,0,0,-1,0,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:2,23,23,18,28,27,29,22,31,28,25,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:3,29,34,27,8,15,19,18,42,41,22,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
