Disp Cluster Num:1
Center Point ,111,40,253,61,665

No.1 ,111,40,253,61,665
No.2 ,205,11,250,56,657
No.3 ,213,91,232,82,745
No.4 ,43,38,220,90,550
No.5 ,22,58,259,26,655
No.6 ,111,20,237,41,731
No.7 ,167,61,200,90,688
No.8 ,26,26,387,82,551
No.9 ,95,13,265,15,699
No.10 ,95,54,215,77,740

Disp Cluster Num:2
Center Point ,282,56,333,43,878

No.1 ,282,56,333,43,878
No.2 ,223,70,232,50,790
No.3 ,261,27,372,43,920
No.4 ,202,19,383,31,906
No.5 ,412,58,265,71,986
No.6 ,279,97,328,54,905
No.7 ,353,57,439,6,811
No.8 ,353,57,439,6,811
No.9 ,353,57,439,6,811
No.10 ,0,15,282,41,991

Disp Cluster Num:3
Center Point ,304,43,86,53,554

No.1 ,304,43,86,53,554
No.2 ,405,40,88,51,573
No.3 ,363,6,16,55,599
No.4 ,371,5,84,3,552
No.5 ,161,51,82,21,589
No.6 ,418,83,125,95,510
No.7 ,325,92,166,79,541
No.8 ,166,82,5,66,502
No.9 ,313,20,31,35,598
No.10 ,220,2,179,81,528

Disp Cluster Num:4
Center Point ,306,45,92,40,918

No.1 ,306,45,92,40,918
No.2 ,287,41,42,1,961
No.3 ,248,84,173,95,947
No.4 ,128,45,23,55,925
No.5 ,439,11,121,2,884
No.6 ,394,86,196,56,898
No.7 ,314,49,78,18,861
No.8 ,378,12,55,63,947
No.9 ,43,71,206,92,768
No.10 ,403,6,265,10,622

Disp Cluster Num:5
Center Point ,361,63,344,50,569

No.1 ,361,63,344,50,569
No.2 ,406,75,364,53,522
No.3 ,382,98,437,35,599
No.4 ,437,32,371,46,586
No.5 ,239,53,364,26,590
No.6 ,407,70,344,63,538
No.7 ,289,72,279,58,530
No.8 ,416,0,394,94,617
No.9 ,271,74,246,24,511
No.10 ,385,99,324,55,619

Disp Cluster Num:6
Center Point ,143,54,388,37,757

No.1 ,143,54,388,37,757
No.2 ,126,14,408,80,714
No.3 ,126,92,442,59,857
No.4 ,127,72,341,0,710
No.5 ,265,49,450,11,738
No.6 ,197,22,385,67,788
No.7 ,68,62,368,7,659
No.8 ,167,86,422,14,784
No.9 ,43,8,361,75,846
No.10 ,173,89,320,20,722

Disp Cluster Num:7
Center Point ,368,46,267,50,685

No.1 ,368,46,267,50,685
No.2 ,389,94,248,71,603
No.3 ,403,6,265,10,622
No.4 ,402,6,299,90,752
No.5 ,268,22,238,84,675
No.6 ,329,62,262,5,648
No.7 ,364,69,237,67,736
No.8 ,352,48,310,47,709
No.9 ,411,53,305,33,643
No.10 ,411,53,305,33,643

Disp Cluster Num:8
Center Point ,125,55,258,59,933

No.1 ,125,55,258,59,933
No.2 ,0,15,282,41,991
No.3 ,160,82,359,98,959
No.4 ,223,64,205,59,991
No.5 ,120,76,186,33,802
No.6 ,179,42,363,84,985
No.7 ,60,75,301,5,825
No.8 ,32,11,207,67,944
No.9 ,217,80,171,85,965
No.10 ,217,80,171,85,965

Disp Cluster Num:9
Center Point ,354,58,78,34,738

No.1 ,354,58,78,34,738
No.2 ,358,18,8,27,717
No.3 ,419,78,175,26,756
No.4 ,295,38,54,17,804
No.5 ,401,99,97,63,811
No.6 ,329,71,160,18,700
No.7 ,277,58,76,7,735
No.8 ,448,68,62,82,627
No.9 ,347,14,34,30,770
No.10 ,323,89,49,43,731

Disp Cluster Num:10
Center Point ,109,46,116,54,706

No.1 ,109,46,116,54,706
No.2 ,43,71,206,92,768
No.3 ,208,31,177,31,711
No.4 ,7,41,119,46,739
No.5 ,129,73,22,89,631
No.6 ,56,11,161,74,743
No.7 ,106,52,59,15,625
No.8 ,121,18,127,64,777
No.9 ,184,92,26,50,742
No.10 ,137,29,143,34,620


Disp Cluster Num:1
Center Point ,213,91,232,82,745

No.1 ,213,91,232,82,745
No.2 ,205,11,250,56,657
No.3 ,213,91,232,82,745
No.4 ,205,11,250,56,657
No.5 ,213,91,232,82,745
No.6 ,205,11,250,56,657
No.7 ,213,91,232,82,745
No.8 ,205,11,250,60,657
No.9 ,213,91,232,82,745
No.10 ,205,11,250,56,657

Disp Cluster Num:2
Center Point ,353,57,439,6,811

No.1 ,353,57,439,6,811
No.2 ,353,57,439,6,810
No.3 ,353,57,439,6,811
No.4 ,353,57,439,6,811
No.5 ,353,57,439,6,811
No.6 ,353,57,439,6,811
No.7 ,353,57,439,6,815
No.8 ,353,57,439,6,815
No.9 ,353,57,439,6,815
No.10 ,353,57,439,6,811

Disp Cluster Num:3
Center Point ,418,83,125,95,510

No.1 ,418,83,125,95,510
No.2 ,166,82,5,66,502
No.3 ,418,83,125,95,510
No.4 ,166,82,5,66,502
No.5 ,418,83,125,95,510
No.6 ,166,66,5,66,502
No.7 ,418,83,125,95,510
No.8 ,166,82,5,66,502
No.9 ,418,83,125,95,510
No.10 ,166,82,5,66,502

Disp Cluster Num:4
Center Point ,394,86,196,56,898

No.1 ,394,86,196,56,898
No.2 ,128,45,23,55,925
No.3 ,394,86,196,56,898
No.4 ,128,45,23,55,925
No.5 ,394,86,196,56,898
No.6 ,128,45,23,55,917
No.7 ,394,86,196,56,898
No.8 ,128,45,23,55,925
No.9 ,184,92,26,50,742
No.10 ,364,69,237,67,736

Disp Cluster Num:5
Center Point ,289,72,279,58,530

No.1 ,289,72,279,58,530
No.2 ,407,70,344,63,538
No.3 ,289,72,279,58,530
No.4 ,407,70,344,63,538
No.5 ,289,72,279,58,530
No.6 ,407,70,344,63,538
No.7 ,289,72,279,58,530
No.8 ,407,70,344,63,538
No.9 ,289,72,279,58,530
No.10 ,407,70,344,63,538

Disp Cluster Num:6
Center Point ,68,62,368,7,659

No.1 ,68,62,368,7,659
No.2 ,265,49,450,11,738
No.3 ,68,62,368,7,659
No.4 ,265,49,450,11,738
No.5 ,68,62,368,7,659
No.6 ,265,49,450,11,738
No.7 ,68,62,368,7,659
No.8 ,265,49,450,11,738
No.9 ,68,62,368,7,659
No.10 ,265,49,450,11,738

Disp Cluster Num:7
Center Point ,364,69,237,67,736

No.1 ,364,69,237,67,736
No.2 ,128,45,23,55,925
No.3 ,364,69,237,67,736
No.4 ,128,45,23,55,925
No.5 ,364,69,237,67,736
No.6 ,160,45,23,55,925
No.7 ,364,69,237,67,736
No.8 ,128,45,23,119,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925

Disp Cluster Num:8
Center Point ,60,75,301,5,825

No.1 ,60,75,301,5,825
No.2 ,353,57,439,6,811
No.3 ,60,75,301,5,825
No.4 ,353,57,439,6,811
No.5 ,60,75,301,5,825
No.6 ,353,57,439,6,811
No.7 ,60,75,301,5,825
No.8 ,353,57,439,6,811
No.9 ,353,57,439,6,811
No.10 ,353,57,439,6,811

Disp Cluster Num:9
